Region;State;Population
N;AM;4144597
N;RR;605761
N;AP;845731
N;PA;8602865
N;TO;1572866
N;RO;1777225
N;AC;881935
ND;MA;7075181
ND;PI;3273227
ND;CE;9132078
ND;RN;3506853
ND;PE;9557071
ND;PB;4018127
ND;SE;2298696
ND;AL;3337357
ND;BA;14873064
CO;MT;3484466
CO;MS;2778986
CO;GO;7018354
CO;DF;3015268
SD;SP;45919049
SD;RJ;17264943
SD;ES;4018650
SD;MG;21168791
S;PR;11433957
S;RS;11377239
S;SC;7164788
